SCC148,Indian (Non-Veg),non-veg,Chicken Reshmi Butter Masala (8PC),210,https://rahool.in/temp/sct/src/webp/148sw_Chicken Reshmi Butter Masala (8PC).webp,
SCC149,Indian (Non-Veg),non-veg,Shanky Special Chicken (4PC),270,https://rahool.in/temp/sct/src/webp/149sw_Shanky Special Chicken (4PC).webp,
SCC150,Indian (Non-Veg),non-veg,Chicken Do-Pyaza (2PC),160,,
SCC001,Veg Soup, veg ,Veg Hot & Sour Soup,75,https://img.freepik.com/free-photo/lentil-soup-with-mixed-ingredients-herbs-white-bowl-with-spoon_114579-3083.jpg?w=996&t=st=1670177678~exp=1670178278~hmac=3260a4499f5737d89eea10f5dfed3158e4a3caddca8c922ced34f9377534b1bc,,src/webp/1sw_Veg Hot & Sour Soup.webp
SCC002,Veg Soup, veg ,Veg Sweet Corn Soup,70,https://img.freepik.com/free-photo/top-view-mushroom-soup_23-2148656389.jpg?w=996&t=st=1670177698~exp=1670178298~hmac=c607f013971e2fd00c8ea3b4d7201196ed73dcb5202d8a32f67c68ced405db44,,src/webp/2sw_Veg Sweet Corn Soup.webp
SCC003,Veg Soup, veg ,Veg Manchow Soup,80,https://img.freepik.com/free-photo/roasted-pumpkin-carrot-soup-with-cream-black-pepper-pumpkin-seeds-cutting-board-fresh-pumpkin-slices-black-bread_114579-1706.jpg?w=996&t=st=1670177732~exp=1670178332~hmac=dfff6f18c5609e82b05b1b425e3c76e4d4fe949390d530d5c1b74ffea066a8b0,,src/webp/3sw_Veg Manchow Soup.webp
SCC004,Veg Soup, veg ,Veg Coriander Soup,70,https://img.freepik.com/free-photo/chicken-broth-vegetable-soup-disposable-cup-bowl-served-with-green-vegetables_114579-905.jpg?w=900&t=st=1670177783~exp=1670178383~hmac=3772626fb21266d4b9555f649789ac14e9c473f3ab17dbc452a0cd915a3a777e,,src/webp/4sw_Veg Coriander Soup.webp
SCC005,Veg Soup, veg ,Tomato Soup,65,https://img.freepik.com/free-photo/borsch-soup_144627-28795.jpg?w=996&t=st=1670177794~exp=1670178394~hmac=dee3c372e0266fa840e37dcf413ef8fbd13a5e17d182b8623e77377bed02172b,,src/webp/5sw_Tomato Soup.webp
SCC006,Non Veg Soup,non veg,Chicken Hot & Sour Soup,80,https://img.freepik.com/free-photo/minestrone-soup-table_140725-7401.jpg?w=740&t=st=1670177820~exp=1670178420~hmac=8c3e5f885eee2c700cf6dc2f3af31a6ba0a8887037fa0ce19da42eda55deac8d,,src/webp/6sw_Chicken Hot & Sour Soup.webp
SCC007,Non Veg Soup,non veg,Chicken Sweet Corn Soup,90,https://img.freepik.com/free-photo/roasted-pumpkin-carrot-soup-with-cream-black-pepper-pumpkin-seeds-cutting-board-fresh-pumpkin-slices-black-bread_114579-1669.jpg?w=996&t=st=1670178311~exp=1670178911~hmac=4c43eb9ca9edcdfaa1e3c9ffa2544f93288e86dba7eb43fb123512cdfc6f6487,,src/webp/7sw_Chicken Sweet Corn Soup.webp
SCC008,Non Veg Soup,non veg,Chicken Manchow Soup,90,https://img.freepik.com/free-photo/kimchi-jikae-kimchi-soup-ready-eat-bowl_1150-42849.jpg?w=996&t=st=1670177874~exp=1670178474~hmac=99dab1da64f93fd9f4d457fee9222f9b5bc708426fe0be0975fd799de663c5e1,,src/webp/8sw_Chicken Manchow Soup.webp
SCC009,Non Veg Soup,non veg,Chicken Lemon Coriander Soup,85,https://img.freepik.com/free-photo/spicy-tomato-soup-with-meatballs-pasta-vegetables-healthy-dinner_2829-4283.jpg?size=626&ext=jpg&ga=GA1.2.2060274948.1668775926&semt=sph,,src/webp/9sw_Chicken Lemon Coriander Soup.webp
SCC010,Non Veg Soup,non veg,Chicken Soup,80,https://img.freepik.com/free-photo/thai-food-spicy-chicken-tendon-soup_1150-45531.jpg?w=996&t=st=1670177907~exp=1670178507~hmac=2bab15f29be23c055e6540d801d96b52d0853463271b249b6ab1751430131022,,src/webp/10sw_Chicken Soup.webp
SCC011,Non Veg Roll,non veg,Egg Roll,50,https://www.chefkunalkapur.com/wp-content/uploads/2021/08/CW0_7822-scaled.jpg?v=1628745250,,src/webp/11sw_Egg Roll.webp
SCC012,Non Veg Roll,non veg,Double Egg Roll,60,https://live.staticflickr.com/3714/12444971675_47b90f6d1c_b.jpg,,src/webp/12sw_Double Egg Roll.webp
SCC013,Non Veg Roll,non veg,Single Egg Chicken Roll,70,https://upload.wikimedia.org/wikipedia/commons/a/a8/Chicken-kathi-roll-recipe.jpg,,not found
SCC014,Non Veg Roll,non veg,Chicken Roll,60,https://live.staticflickr.com/6098/6296253604_333ecc81fc_b.jpg,,src/webp/14sw_Chicken Roll.webp
SCC015,Non Veg Roll,non veg,Double Egg Chicken Roll,80,https://live.staticflickr.com/3552/3337996773_d10a33f550_b.jpg,,src/webp/15sw_Double Egg Chicken Roll.webp
SCC016,Non Veg Roll,non veg,Double Egg Chicken Cheese Roll,100,https://www.cookipedia.co.uk/wiki/images/6/6d/Chicken_margherita_melt_recipe.jpg,,src/webp/16sw_Double Egg Chicken Cheese Roll.webp
SCC017,Non Veg Roll,non veg,Chicken Egg Tikka Roll,100,https://www.kitchensanctuary.com/wp-content/uploads/2017/02/Chicken-Tikka-Chapati-Burritos-square-FS.jpg,,src/webp/17sw_Chicken Egg Tikka Roll.webp
SCC018,Veg Roll, veg ,Veg Roll,50,http://yummyrecipes.oneshot.in/wp-content/uploads/2017/08/Veg-Rolls_Vegetable-Wraps_Vegetable-Rolls.jpg,,src/webp/18sw_Veg Roll.webp
SCC019,Veg Roll, veg ,Paneer Roll,70,https://live.staticflickr.com/7232/7064988365_d17e8aa497_b.jpg,,src/webp/19sw_Paneer Roll.webp
SCC020,Veg Roll, veg ,Paneer Cheese Roll,80,https://upload.wikimedia.org/wikipedia/commons/6/6e/Veg_rice_paper_spring_rolls.jpg,,not found
SCC021,Veg Roll, veg ,Mushroom Roll,75,https://storage.needpix.com/rsynced_images/mexican-food-1561970_1280.jpg,,src/webp/21sw_Mushroom Roll.webp
